original_smiles,intervened_smiles,intervention_strategy,original_molecule_idx,original_prediction,intervened_prediction,prediction_difference,abs_prediction_difference,original_probability,intervened_probability,probability_difference,original_logp,intervened_logp,logp_difference
S(=O)(=O)(N(C)c1cc(cc(c1)CNC(=O)C([NH3+])(Cc1ccccc1)CO)C(=O)NC(C)c1ccc(F)cc1)C,[H]C([NH3+])(Cc1ccccc1)C(=O)NCc1cc(C(=O)NC(C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,hydroxyl,1370,0.15701787173748016,0.19468986988067627,0.037671998143196106,0.037671998143196106,0.15701787173748016,0.19468986988067627,0.037671998143196106,1.5444000000000013,2.1819000000000006,0.6374999999999993
Clc1cc(cc(Cl)c1)-c1cc2c(OC(CC23N=C(N)N(C)C3=O)(C)C)cc1,CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4cccc(Cl)c4)cc32)N=C1N,aromatic_chloro,540,0.7622055411338806,0.1557372361421585,-0.6064683049917221,0.6064683049917221,0.7622055411338806,0.1557372361421585,-0.6064683049917221,4.203500000000004,3.5501000000000023,-0.6534000000000013
S1(=O)(=O)CC(Cc2cc(OCC(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,CC(C)(C)c1cccc(C[NH2+]C2CS(=O)(=O)CC(Cc3ccc(N)c(OCC(F)F)c3)C2O)c1,fluoro_aromatic,319,0.7624109983444214,0.5836900472640991,-0.17872095108032227,0.17872095108032227,0.7624109983444214,0.5836900472640991,-0.17872095108032227,2.429500000000001,2.290400000000001,-0.1391
Fc1ccc(NC(=O)c2ncc(cc2)C#N)cc1[C@]1(N=C(OCC1)N)C(F)F,N#Cc1ccc(C(=O)Nc2cccc([C@]3(C(F)F)CCOC(N)=N3)c2)nc1,fluoro_aromatic,79,0.7617397308349609,0.36314600706100464,-0.3985937237739563,0.3985937237739563,0.7617397308349609,0.36314600706100464,-0.3985937237739563,2.5400800000000006,2.4009799999999997,-0.1391000000000009
Fc1cc(cc(F)c1)CC(NC(=O)C)C(O)C[NH2+]C1(CCC(CC1)C#N)c1cc(ccc1)C(C)(C)C,CC(=O)NC(Cc1cccc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC(C#N)CC1,fluoro_aromatic,965,0.7180820107460022,0.16069316864013672,-0.5573888421058655,0.5573888421058655,0.7180820107460022,0.16069316864013672,-0.5573888421058655,3.8430800000000023,3.7039800000000023,-0.1391
s1ccnc1-c1cc(ccc1F)CC(NC(=O)COC)C(O)C[NH2+]C1CC2(Oc3ncc(cc13)CC(C)(C)C)CCC2,COCC(=O)NC(Cc1cccc(-c2nccs2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,fluoro_aromatic,325,0.7618929147720337,0.7623814344406128,0.0004885196685791016,0.0004885196685791016,0.7618929147720337,0.7623814344406128,0.0004885196685791016,3.9773000000000023,3.8382000000000014,-0.1391000000000009
Clc1cc2nc(n(c2cc1)C(CC(=O)NCc1ccc(F)cc1)CC)N,CCC(CC(=O)NCc1ccc(F)cc1)n1c(N)nc2ccccc21,aromatic_chloro,1495,0.15537101030349731,0.1554204374551773,4.9427151679992676e-05,4.9427151679992676e-05,0.15537101030349731,0.1554204374551773,4.9427151679992676e-05,4.068600000000002,3.4152000000000013,-0.6534000000000004
Clc1cc2nc(n(c2cc1)C(CC(=O)NCc1ccc(F)cc1)CC)N,CCC(CC(=O)NCc1ccccc1)n1c(N)nc2cc(Cl)ccc21,fluoro_aromatic,1495,0.155389204621315,0.1552610844373703,-0.00012812018394470215,0.00012812018394470215,0.155389204621315,0.1552610844373703,-0.00012812018394470215,4.068600000000002,3.9295000000000018,-0.1391
S1(=O)(=O)N([C@]2(C[C@@H]([N@H+](CC2)Cc2cc(OC(C)C)ccc2)C)CN1C)c1cc(F)ccc1,CC(C)Oc1cccc(C[N@H+]2CC[C@@]3(C[C@@H]2C)CN(C)S(=O)(=O)N3c2ccccc2)c1,fluoro_aromatic,149,0.15531623363494873,0.16525273025035858,0.009936496615409851,0.009936496615409851,0.15531623363494873,0.16525273025035858,0.009936496615409851,2.6157000000000012,2.4766000000000012,-0.1391
S1(=O)CC(Cc2cc(O)c(N)c(F)c2)C(O)C([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,CC(C)(C)c1cccc(C[NH2+]C2CS(=O)CC(Cc3ccc(N)c(O)c3)C2O)c1,fluoro_aromatic,1004,0.7616388201713562,0.16008327901363373,-0.6015555411577225,0.6015555411577225,0.7616388201713562,0.16008327901363373,-0.6015555411577225,1.8251,1.6860000000000002,-0.13909999999999978
