original_smiles,intervened_smiles,intervention_strategy,original_logp,intervened_logp,original_hbd,intervened_hbd,original_hba,intervened_hba,is_chemically_valid
Fc1cc(ccc1)-c1cc2c(OC(CC23N=C(N)N(C)C3=O)(C)C)cc1,CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4ccccc4)cc32)N=C1N,fluoro_aromatic,3.035800000000001,2.896700000000001,1,1,4,4,True
Fc1c2c(ccc1)C(N=C2N)(c1cc(C#N)c(OC)c(c1)C)c1cc(ccc1)-c1cncnc1,COc1c(C)cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)c3ccccc32)cc1C#N,fluoro_aromatic,4.482200000000003,4.343100000000002,1,1,6,6,True
Fc1ccc(cc1C#CCF)[C@]1(N=C(N)N(C)C1=O)c1cc(C)c(OC(F)F)cc1,Cc1cc([C@]2(c3cccc(C#CCF)c3)N=C(N)N(C)C2=O)ccc1OC(F)F,fluoro_aromatic,3.086820000000002,2.9477200000000012,1,1,4,4,True
S(=O)(=O)(N(C)c1cc(cc(c1)COCC([NH3+])(Cc1ccccc1)COC)C(=O)NC(C)c1ccc(F)cc1)C,COCC([NH3+])(COCc1cc(C(=O)NC(C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)Cc1ccccc1,fluoro_aromatic,3.0989000000000013,2.9598000000000013,2,2,5,5,True
Clc1cc(cnc1)-c1cc2c(CC(CC23N=C(SC3)N)(C)C)cc1,CC1(C)Cc2ccc(-c3cccnc3)cc2C2(CSC(N)=N2)C1,aromatic_chloro,4.631200000000003,3.977800000000002,1,1,4,4,True
Fc1ccc(OC)cc1-c1cc2c(OC(CC23N=C(N)N(C)C3=O)(C)C)cc1,COc1cccc(-c2ccc3c(c2)C2(CC(C)(C)O3)N=C(N)N(C)C2=O)c1,fluoro_aromatic,3.0444000000000013,2.9053000000000004,1,1,5,5,True
S1(=O)CC(Cc2cc(OC(COC)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2cc(OC(C)C)ccc2)C1,COCC(Oc1cc(CC2CS(=O)CC([NH2+]Cc3cccc(OC(C)C)c3)C2O)ccc1N)C(F)(F)F,fluoro_aromatic,2.5653000000000006,2.4262000000000006,3,3,6,6,True
S1(=O)(=O)N(C2(CC([NH+](CC2)Cc2cc(OC(C)C)ccc2)C)CN1c1cccnc1)c1cc(F)ccc1,CC(C)Oc1cccc(C[NH+]2CCC3(CC2C)CN(c2cccnc2)S(=O)(=O)N3c2ccccc2)c1,fluoro_aromatic,3.5855000000000032,3.4464000000000024,1,1,4,4,True
S1(=O)(=O)CC(Cc2cc(CCC(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,CC(C)(C)c1cccc(C[NH2+]C2CS(=O)(=O)CC(Cc3ccc(N)c(CCC(F)(F)F)c3)C2O)c1,fluoro_aromatic,3.2805000000000017,3.1414000000000017,3,3,4,4,True
S1(=O)(=O)N(C2(CC([NH+](CC2)Cc2cc(OC(C)C)ccc2)C)CN1CC)c1cc(F)ccc1,CCN1CC2(CC[NH+](Cc3cccc(OC(C)C)c3)C(C)C2)N(c2ccccc2)S1(=O)=O,fluoro_aromatic,3.0058000000000016,2.8667000000000016,1,1,3,3,True
