original_smiles,intervened_smiles,intervention_strategy,original_molecule_idx,original_prediction,intervened_prediction,prediction_difference,abs_prediction_difference,original_probability,intervened_probability,probability_difference,original_logp,intervened_logp,logp_difference
C(C1(C(NC(=O)NC1=O)=O)C(C)C)C=C,[H]C(CC=C)(C(=O)NC=O)C(C)C,amide,993,0.8810766935348511,0.8806713819503784,-0.00040531158447265625,0.00040531158447265625,0.8810766935348511,0.8806713819503784,-0.00040531158447265625,0.5708999999999995,1.1073,0.5364000000000004
c1ccc2Oc3c(cc(cc3)Cl)[C@@H]3[C@@H](c2c1)C[N@](CC3)C,CN1CC[C@@H]2c3ccccc3Oc3ccccc3[C@H]2C1,aromatic_chloro,615,0.8754554390907288,0.8791608214378357,0.0037053823471069336,0.0037053823471069336,0.8754554390907288,0.8791608214378357,0.0037053823471069336,4.648600000000004,3.995200000000003,-0.6534000000000004
CCC1(C)CC(=O)NC1=O,[H]CC(C)(C=O)CC,amide,628,0.22153174877166748,0.8767639994621277,0.6552322506904602,0.6552322506904602,0.22153174877166748,0.8767639994621277,0.6552322506904602,0.4491999999999999,1.6215,1.1723000000000001
C[C@H]1CN(C[C@@H](C)N1)c2c(F)c(N)c3C(=O)C(=CN(C4CC4)c3c2F)C(O)=O,[H]c1cn(C2CC2)c2c(F)c(N3C[C@@H](C)N[C@@H](C)C3)c(F)c(N)c2c1=O,carboxylic_acid,627,0.2238190621137619,0.2213142365217209,-0.0025048255920410156,0.0025048255920410156,0.2238190621137619,0.2213142365217209,-0.0025048255920410156,2.0816,2.383400000000001,0.30180000000000096
C[C@H]1CN(C[C@@H](C)N1)c2c(F)c(N)c3C(=O)C(=CN(C4CC4)c3c2F)C(O)=O,C[C@@H]1CN(c2cc(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,fluoro_aromatic,627,0.22318708896636963,0.22288063168525696,-0.0003064572811126709,0.0003064572811126709,0.22318708896636963,0.22288063168525696,-0.0003064572811126709,2.0816,1.9425000000000001,-0.13909999999999978
CN1C(=O)c2c(cccc2Cl)n2cnc(c2C1)c1noc(n1)C(C)C,CC(C)c1nc(-c2ncn3c2CN(C)C(=O)c2ccccc2-3)no1,aromatic_chloro,93,0.21959960460662842,0.23066943883895874,0.011069834232330322,0.011069834232330322,0.21959960460662842,0.23066943883895874,0.011069834232330322,3.2847000000000017,2.6313000000000013,-0.6534000000000004
NC1=NC(=O)c2ncn(COC(CO)CO)c2N1,[H]C(CO)OCn1cnc2c(=O)nc(N)[nH]c21,hydroxyl,237,0.22185708582401276,0.2656523287296295,0.04379524290561676,0.04379524290561676,0.22185708582401276,0.2656523287296295,0.04379524290561676,-1.970899999999999,-1.3318000000000003,0.6390999999999987
C1=C(Cl)C=CC3=C1N(C2=C(C=CC=C2)S3)CCCN4CCN(CCOC(C)=O)CC4,CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1,aromatic_chloro,1589,0.8817063570022583,0.8755971789360046,-0.006109178066253662,0.006109178066253662,0.8817063570022583,0.8755971789360046,-0.006109178066253662,4.513500000000004,3.8601000000000028,-0.6534000000000013
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2CCC[C@H]2C(O)=O,[H]C1CCCN1C(=O)[C@H](C)N[C@@H](CCc1ccccc1)C(=O)OCC,carboxylic_acid,714,0.2197776734828949,0.7904684543609619,0.570690780878067,0.570690780878067,0.2197776734828949,0.7904684543609619,0.570690780878067,1.6046,2.1513999999999998,0.5467999999999997
CC(C(C(OC(N)=O)C)C)OC(N)=O,[H]OC(C)C(C)C(C)OC(N)=O,amide,1441,0.8802306056022644,0.8684202432632446,-0.011810362339019775,0.011810362339019775,0.8802306056022644,0.8684202432632446,-0.011810362339019775,0.5901,0.4871000000000002,-0.10299999999999976
C(NC(C(C)(C)C)=O)CCC(O)=O,[H]CCCNC(=O)C(C)(C)C,carboxylic_acid,1472,0.8800650835037231,0.2786790728569031,-0.6013860106468201,0.6013860106468201,0.8800650835037231,0.2786790728569031,-0.6013860106468201,1.0134999999999998,1.5587,0.5452000000000001
