original_smiles,intervened_smiles,intervention_strategy,original_molecule_idx,original_prediction,intervened_prediction,prediction_difference,abs_prediction_difference,original_probability,intervened_probability,probability_difference,original_logp,intervened_logp,logp_difference
C1=CC(=CC=C1CNC(C(C)C)CCCCCC(O)=O)F,[H]CCCCCC(NCc1ccc(F)cc1)C(C)C,carboxylic_acid,1653,0.9723266363143921,0.5835728049278259,-0.38875383138656616,0.38875383138656616,0.9723266363143921,0.5835728049278259,-0.38875383138656616,3.9750000000000023,4.5202000000000035,0.5452000000000012
C1=CC(=CC=C1CNC(C(C)C)CCCCCC(O)=O)F,CC(C)C(CCCCCC(=O)O)NCc1ccccc1,fluoro_aromatic,1653,0.9723008275032043,0.09431931376457214,-0.8779815137386322,0.8779815137386322,0.9723008275032043,0.09431931376457214,-0.8779815137386322,3.9750000000000023,3.8359000000000023,-0.1391
C(C1(C(C=CNC1=O)=O)CC)C,[H]C(CC)(CC)C(=O)C=C,amide,1968,0.97230464220047,0.9718673825263977,-0.0004372596740722656,0.0004372596740722656,0.97230464220047,0.9718673825263977,-0.0004372596740722656,1.0053999999999998,2.1776999999999997,1.1723
CC1(C(NC(O1)=O)=O)C,[H]C(C)(C)OC=O,amide,1154,0.9718610644340515,0.971644937992096,-0.0002161264419555664,0.0002161264419555664,0.9718610644340515,0.971644937992096,-0.0002161264419555664,0.03140000000000004,0.5678,0.5364
CC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc3ccc(cc3)C4=NCCCN4)C2=O)C(O)=O,[H]C1=C(C)CS[C@@H]2[C@H](NC(=O)Cc3ccc(C4=NCCCN4)cc3)C(=O)N12,carboxylic_acid,774,0.09161176532506943,0.091567762196064,-4.400312900543213e-05,4.400312900543213e-05,0.09161176532506943,0.091567762196064,-4.400312900543213e-05,0.7274999999999998,1.2726999999999997,0.5451999999999999
OCc1cccnc1,[H]c1cccnc1,hydroxyl,325,0.940371036529541,0.9623589515686035,0.0219879150390625,0.0219879150390625,0.940371036529541,0.9623589515686035,0.0219879150390625,0.5739,1.0816,0.5076999999999999
C1=C(Cl)C=CC2=C1C(=NCC(N2CC[S](C3=CC=C(C)C=C3)(=O)=O)=O)C4=CC=CC=C4Cl,Cc1ccc(S(=O)(=O)CCN2C(=O)CN=C(c3ccccc3Cl)c3ccccc32)cc1,aromatic_chloro,1615,0.9718149900436401,0.09159987419843674,-0.8802151158452034,0.8802151158452034,0.9718149900436401,0.09159987419843674,-0.8802151158452034,4.959720000000004,4.306320000000004,-0.6534000000000004
C1=CC=CC=C1C3(CCN(CCCC(C2=CC=C(F)C=C2)=O)CC3)CNC(C)=O,CC(=O)NCC1(c2ccccc2)CCN(CCCC(=O)c2ccccc2)CC1,fluoro_aromatic,944,0.9722440242767334,0.9591151475906372,-0.013128876686096191,0.013128876686096191,0.9722440242767334,0.9591151475906372,-0.013128876686096191,3.9585000000000026,3.8194000000000026,-0.1391
C1=CC=CC2=C1N(C(CO2)=O)CC(N)=O,[H]CN1C(=O)COc2ccccc21,amide,1936,0.9722512364387512,0.9706136584281921,-0.001637578010559082,0.001637578010559082,0.9722512364387512,0.9706136584281921,-0.001637578010559082,-0.1026999999999999,1.0417999999999998,1.1444999999999999
C1=C([S](=O)(=O)N)C=CC(=C1C(NCC2N(CC)CCC2)=O)OC,[H]c1ccc(OC)c(C(=O)NCC2CCCN2CC)c1,sulfonamide,1991,0.9718011617660522,0.9706994295120239,-0.0011017322540283203,0.0011017322540283203,0.9718011617660522,0.9706994295120239,-0.0011017322540283203,0.5566999999999995,1.9093,1.3526000000000005
