original_smiles,intervened_smiles,intervention_strategy,original_qed,intervened_qed,original_mol_weight,intervened_mol_weight,original_logp,intervened_logp,original_hbd,intervened_hbd,original_hba,intervened_hba,is_chemically_valid
c12c3c(N4CCN(C)CC4)c(F)cc1c(c(C(O)=O)cn2C(C)CO3)=O,[H]c1cn2c3c(c(N4CCN(C)CC4)c(F)cc3c1=O)OCC2C,carboxylic_acid,0.8747398264671754,0.8043649196772578,361.14378433999997,317.1539551,1.544,1.8458,1,0,6,5,True
c12c3c(N4CCN(C)CC4)c(F)cc1c(c(C(O)=O)cn2C(C)CO3)=O,CC1COc2c(N3CCN(C)CC3)ccc3c(=O)c(C(=O)O)cn1c23,fluoro_aromatic,0.8747398264671754,0.8885196604127507,361.14378433999997,343.15320615199994,1.544,1.4049000000000003,1,1,6,6,True
Cc1onc(c2ccccc2Cl)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(O)=O,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,aromatic_chloro,0.7092649200190689,0.7524509230706136,435.0655693559999,401.104541708,2.5487200000000003,1.8953199999999997,2,2,6,6,True
Cc1onc(c2ccccc2Cl)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(O)=O,[H]C1N2C(=O)[C@@H](NC(=O)c3c(-c4ccccc4Cl)noc3C)[C@H]2SC1(C)C,carboxylic_acid,0.7092649200190689,0.8134951040195093,435.0655693559999,391.075740116,2.5487200000000003,3.0955200000000014,2,1,6,5,True
OCC(C)(O)c1onc(c2ncn3c2CN(C)C(c4c3cccc4Cl)=O)n1,CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2ccccc2C1=O,aromatic_chloro,0.6939427442397786,0.7101826875830146,389.08908167199996,355.128054024,1.3611000000000002,0.7077,2,2,8,8,True
OCC(C)(O)c1onc(c2ncn3c2CN(C)C(c4c3cccc4Cl)=O)n1,[H]C(C)(O)c1nc(-c2ncn3c2CN(C)C(=O)c2c(Cl)cccc2-3)no1,hydroxyl,0.6939427442397786,0.7530393648171253,389.08908167199996,359.07851698800005,1.3611000000000002,2.2146,2,1,8,7,True
CC1=CN([C@H]2C[C@H](F)[C@@H](CO)O2)C(=O)NC1=O,[H]C1O[C@@H](n2cc(C)c(=O)[nH]c2=O)C[C@@H]1F,hydroxyl,0.731622172408428,0.7207950333696511,244.085935116,214.075370432,-0.53708,0.10202000000000006,2,1,5,4,True
CN(C)C(=O)C(CCN1CCC(O)(CC1)c1ccc(Cl)cc1)(c1ccccc1)c1ccccc1,CN(C)C(=O)C(CCN1CCC(O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1,aromatic_chloro,0.5163157587714765,0.5885589398819933,476.223055976,442.262028328,5.088000000000005,4.434600000000003,1,1,3,3,True
CN1C2CCC1CC(C2)OC(=O)[C@H](CO)c3ccccc3,[H]C(C(=O)OC1CC2CCC(C1)N2C)c1ccccc1,hydroxyl,0.8605899449393155,0.7806574231309205,289.167793596,259.157228912,1.9309,2.397500000000001,1,0,4,3,True
COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)[S](=O)(=O)NC(=O)NC3CCCCC3,COc1ccccc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,aromatic_chloro,0.51917970894521,0.5616285325224796,493.14381967599996,459.182792028,3.641700000000002,2.9883000000000015,3,3,5,5,True
Nc1nnc(c(N)n1)c2cccc(Cl)c2Cl,Nc1nnc(-c2ccccc2Cl)c(N)n1,aromatic_chloro,0.8138095128696987,0.7587891676851279,255.00785058399998,221.04682293599998,2.0097999999999994,1.3563999999999998,2,2,5,5,True
CN1CCN(CC1)C2=C3C=CC=CC3=Nc4ccc(Cl)cc4N2,CN1CCN(C2=c3ccccc3=Nc3ccccc3N2)CC1,aromatic_chloro,0.8697054686334906,0.8612598740105657,326.129824288,292.16879664000004,2.0298999999999996,1.376499999999999,1,1,4,4,True
FC(F)(F)c1c(Cl)nc(N2CCNCC2)cc1,FC(F)(F)c1ccc(N2CCNCC2)nc1,aromatic_chloro,0.7890335810877849,0.7936955081961078,265.059359692,231.098332044,2.1634,1.5099999999999998,1,1,3,3,True
