filename,p_np
1.png,1
2.png,1
3.png,1
4.png,1
5.png,1
6.png,1
7.png,1
8.png,1
9.png,1
10.png,1
11.png,0
12.png,1
13.png,1
14.png,1
15.png,1
16.png,1
17.png,1
18.png,1
19.png,1
20.png,1
21.png,1
22.png,1
23.png,0
24.png,1
25.png,1
26.png,0
27.png,1
28.png,1
29.png,1
30.png,1
31.png,1
32.png,1
33.png,1
34.png,1
35.png,1
36.png,1
37.png,0
38.png,1
39.png,1
40.png,0
41.png,1
42.png,1
43.png,1
44.png,1
45.png,1
46.png,1
47.png,1
48.png,1
49.png,1
50.png,1
51.png,1
52.png,1
53.png,1
54.png,1
55.png,1
56.png,1
57.png,1
58.png,0
59.png,1
60.png,1
61.png,1
62.png,1
63.png,1
64.png,1
65.png,1
66.png,1
67.png,0
68.png,1
69.png,1
70.png,1
71.png,1
72.png,1
73.png,1
74.png,0
75.png,1
76.png,1
77.png,1
78.png,1
79.png,1
80.png,0
81.png,1
82.png,1
83.png,1
84.png,1
85.png,1
86.png,1
87.png,1
88.png,1
89.png,1
90.png,1
91.png,1
92.png,1
93.png,1
94.png,1
95.png,1
96.png,1
97.png,1
98.png,1
99.png,0
100.png,0
101.png,0
102.png,0
103.png,0
104.png,0
105.png,0
106.png,0
107.png,1
108.png,1
109.png,1
110.png,1
111.png,1
112.png,1
113.png,1
114.png,1
115.png,1
116.png,0
117.png,1
118.png,1
119.png,1
120.png,1
121.png,0
122.png,0
123.png,0
124.png,0
125.png,0
126.png,0
127.png,0
128.png,0
129.png,0
130.png,0
131.png,0
132.png,0
133.png,0
134.png,1
135.png,1
136.png,1
137.png,1
138.png,1
139.png,1
140.png,1
141.png,1
142.png,1
143.png,0
144.png,0
145.png,0
146.png,1
147.png,0
148.png,0
149.png,0
150.png,0
151.png,0
152.png,0
153.png,0
154.png,0
155.png,0
156.png,0
157.png,0
158.png,1
159.png,1
160.png,1
161.png,1
162.png,1
163.png,1
164.png,1
165.png,1
166.png,1
167.png,1
168.png,1
169.png,1
170.png,0
171.png,1
172.png,1
173.png,0
174.png,0
175.png,1
176.png,1
177.png,0
178.png,0
179.png,0
180.png,0
181.png,0
182.png,0
183.png,0
184.png,0
185.png,0
186.png,1
187.png,1
188.png,1
189.png,1
190.png,1
191.png,1
192.png,1
193.png,1
194.png,1
195.png,1
196.png,0
197.png,0
198.png,0
199.png,0
200.png,0
201.png,0
202.png,0
203.png,1
204.png,0
205.png,0
206.png,0
207.png,0
208.png,0
209.png,0
210.png,0
211.png,0
212.png,0
213.png,0
214.png,1
215.png,1
216.png,1
217.png,1
218.png,1
219.png,1
220.png,1
221.png,1
222.png,1
223.png,1
224.png,1
225.png,0
226.png,1
227.png,1
228.png,1
229.png,0
230.png,0
231.png,0
232.png,0
233.png,0
234.png,0
235.png,0
236.png,0
237.png,0
238.png,0
239.png,0
240.png,1
241.png,1
242.png,1
243.png,1
244.png,1
245.png,1
246.png,1
247.png,1
248.png,1
249.png,1
250.png,0
251.png,0
252.png,0
253.png,1
254.png,1
255.png,0
256.png,0
257.png,0
258.png,0
259.png,0
260.png,0
261.png,0
262.png,0
263.png,0
264.png,0
265.png,0
266.png,0
267.png,1
268.png,1
269.png,1
270.png,1
271.png,0
272.png,0
273.png,1
274.png,0
275.png,0
276.png,0
277.png,0
278.png,0
279.png,0
280.png,0
281.png,0
282.png,0
283.png,0
284.png,0
285.png,0
286.png,0
287.png,1
288.png,0
289.png,1
290.png,1
291.png,0
292.png,1
293.png,1
294.png,0
295.png,1
296.png,1
297.png,1
298.png,0
299.png,0
300.png,0
301.png,0
302.png,0
303.png,0
304.png,0
305.png,0
306.png,0
307.png,0
308.png,0
309.png,1
310.png,0
311.png,1
312.png,1
313.png,0
314.png,0
315.png,1
316.png,0
317.png,1
318.png,1
319.png,0
320.png,1
321.png,1
322.png,0
323.png,0
324.png,0
325.png,0
326.png,0
327.png,0
328.png,0
329.png,0
330.png,0
331.png,0
332.png,1
333.png,1
334.png,1
335.png,1
336.png,1
337.png,1
338.png,1
339.png,1
340.png,0
341.png,1
342.png,1
343.png,1
344.png,1
345.png,1
346.png,1
347.png,0
348.png,1
349.png,0
350.png,0
351.png,0
352.png,0
353.png,0
354.png,0
355.png,0
356.png,0
357.png,0
358.png,0
359.png,1
360.png,1
361.png,0
362.png,1
363.png,1
364.png,1
365.png,0
366.png,1
367.png,0
368.png,0
369.png,1
370.png,1
371.png,0
372.png,0
373.png,0
374.png,0
375.png,0
376.png,0
377.png,0
378.png,0
379.png,0
380.png,0
381.png,1
382.png,1
383.png,1
384.png,1
385.png,1
386.png,1
387.png,1
388.png,1
389.png,0
390.png,0
391.png,1
392.png,0
393.png,0
394.png,0
395.png,0
396.png,0
397.png,0
398.png,0
399.png,0
400.png,0
401.png,0
402.png,1
403.png,1
404.png,1
405.png,1
406.png,0
407.png,1
408.png,1
409.png,1
410.png,1
411.png,1
412.png,1
413.png,0
414.png,1
415.png,1
416.png,1
417.png,1
418.png,0
419.png,0
420.png,0
421.png,0
422.png,0
423.png,0
424.png,0
425.png,0
426.png,0
427.png,0
428.png,1
429.png,1
430.png,1
431.png,1
432.png,1
433.png,1
434.png,1
435.png,0
436.png,1
437.png,0
438.png,0
439.png,0
440.png,0
441.png,0
442.png,0
443.png,0
444.png,1
445.png,1
446.png,1
447.png,1
448.png,1
449.png,1
450.png,1
451.png,1
452.png,1
453.png,1
454.png,1
455.png,1
456.png,1
457.png,1
458.png,1
459.png,1
460.png,1
461.png,1
462.png,1
463.png,1
464.png,1
465.png,0
466.png,1
467.png,0
468.png,1
469.png,1
470.png,1
471.png,1
472.png,1
473.png,1
474.png,1
475.png,1
476.png,1
477.png,1
478.png,1
479.png,1
480.png,1
481.png,1
482.png,1
483.png,1
484.png,1
485.png,1
486.png,1
487.png,0
488.png,0
489.png,0
490.png,1
491.png,1
492.png,1
493.png,1
494.png,1
495.png,1
496.png,1
497.png,1
498.png,1
499.png,1
500.png,1
501.png,1
502.png,1
503.png,1
504.png,1
505.png,1
506.png,1
507.png,1
508.png,1
509.png,1
510.png,1
511.png,1
512.png,0
513.png,0
514.png,0
515.png,0
